,Age/weight,Analysis method,Charge,ID,Ligand,NP_Shape,NP_Type,Name,Organ,PEG cover,PMID,Paper Title,Publication link,hydrodynamic nm,Size_nm,Species,Strain,Study_id,Time,Year of publication,perc_ID_g_Blood,perc_ID_g_Kidney,perc_ID_g_Liver,perc_ID_g_Lung,perc_ID_g_Spleen,CBl,CK,CL,Clung,CS,dose(ug),Dose(mg/kg),Body weight (kg),Input pathway
0,20, well type NaI detector,Very negative,,,Nanoparticle,Iron Oxide,"ultra small superparamagnetic iron oxide (USPIO)  USPIOs labeled with 99mTc,",,,,Biodistribution of ultra small superparamagnetic iron oxide nanoparticles in BALB mice,https://link.springer.com/article/10.1007/s10967-012-2173-4,41,5,Mouse,Balb/c mice,3,0.016666667,2012,35.54,3.68,19.27,13.17,1.09,35540,3680,19270,13170,1090,100,4,0.025,intravenous injection
1,20, well type NaI detector,Very negative,,,Nanoparticle,Iron Oxide,,,,,Biodistribution of ultra small superparamagnetic iron oxide nanoparticles in BALB mice,https://link.springer.com/article/10.1007/s10967-012-2173-4,41,5,Mouse,Balb/c mice,3,0.041666667,2012,17.48,2.8,39.85,16.89,2.21,17480,2800,39850,16890,2210,,,,
2,20, well type NaI detector,Very negative,,,Nanoparticle,Iron Oxide,,,,,Biodistribution of ultra small superparamagnetic iron oxide nanoparticles in BALB mice,https://link.springer.com/article/10.1007/s10967-012-2173-4,41,5,Mouse,Balb/c mice,3,0.083333333,2012,4.37,2.55,55.11,2.64,19.75,4370,2550,55110,2640,19750,,,,
3,20, well type NaI detector,Very negative,,,Nanoparticle,Iron Oxide,,,,,Biodistribution of ultra small superparamagnetic iron oxide nanoparticles in BALB mice,https://link.springer.com/article/10.1007/s10967-012-2173-4,41,5,Mouse,Balb/c mice,3,0.25,2012,0.48,1.97,38.34,2.5,11.7,480,1970,38340,2500,11700,,,,
4,20, well type NaI detector,Very negative,,,Nanoparticle,Iron Oxide,,,,,Biodistribution of ultra small superparamagnetic iron oxide nanoparticles in BALB mice,https://link.springer.com/article/10.1007/s10967-012-2173-4,41,5,Mouse,Balb/c mice,3,0.5,2012,0.36,1.93,33.02,1.5,11.56,360,1930,33020,1500,11560,,,,
5,20, well type NaI detector,Very negative,,,Nanoparticle,Iron Oxide,,,,,Biodistribution of ultra small superparamagnetic iron oxide nanoparticles in BALB mice,https://link.springer.com/article/10.1007/s10967-012-2173-4,41,5,Mouse,Balb/c mice,3,1,2012,0.24,1.86,30.91,1.17,10.68,240,1860,30910,1170,10680,,,,
6,20, well type NaI detector,Very negative,,,Nanoparticle,Iron Oxide,,,,,Biodistribution of ultra small superparamagnetic iron oxide nanoparticles in BALB mice,https://link.springer.com/article/10.1007/s10967-012-2173-4,41,5,Mouse,Balb/c mice,3,2,2012,0.08,1.76,19.03,0.74,4.94,80,1760,19030,740,4940,,,,
7,20, well type NaI detector,Very negative,,,Nanoparticle,Iron Oxide,,,,,Biodistribution of ultra small superparamagnetic iron oxide nanoparticles in BALB mice,https://link.springer.com/article/10.1007/s10967-012-2173-4,41,5,Mouse,Balb/c mice,3,4,2012,0.09,1.56,17.24,0.59,4.13,90,1560,17240,590,4130,,,,
8,20, well type NaI detector,Very negative,,,Nanoparticle,Iron Oxide,,,,,Biodistribution of ultra small superparamagnetic iron oxide nanoparticles in BALB mice,https://link.springer.com/article/10.1007/s10967-012-2173-4,41,5,Mouse,Balb/c mice,3,6,2012,0.06,0.66,11.67,0.41,1.52,60,660,11670,410,1520,,,,
9,20, well type NaI detector,Very negative,,,Nanoparticle,Iron Oxide,,,,,Biodistribution of ultra small superparamagnetic iron oxide nanoparticles in BALB mice,https://link.springer.com/article/10.1007/s10967-012-2173-4,41,5,Mouse,Balb/c mice,3,18,2012,0.01,0.17,4.3,0.02,1.19,10,170,4300,20,1190,,,,
10,20, well type NaI detector,Very negative,,,Nanoparticle,Iron Oxide,,,,,Biodistribution of ultra small superparamagnetic iron oxide nanoparticles in BALB mice,https://link.springer.com/article/10.1007/s10967-012-2173-4,41,5,Mouse,Balb/c mice,3,24,2012,0.02,0.14,1.46,0.03,0.1,20,140,1460,30,100,,,,
11,20, well type NaI detector,Very negative,,,Nanoparticle,Iron Oxide,,,,,Biodistribution of ultra small superparamagnetic iron oxide nanoparticles in BALB mice,https://link.springer.com/article/10.1007/s10967-012-2173-4,41,5,Mouse,Balb/c mice,3,48,2012,0,0,0.16,0,0.01,0,0,160,0,10,,,,