,Age/weight,Analysis method,Charge,ID,Ligand,NP_Shape,hydrodynamic size(nm),NP_Type,Name,PEG cover,Paper Title,Publication link,Size_nm,Species,Strain,Study_id,Time,Year of publication,CBl,CK,CL,Clung,CS,Dose(mg/kg),Body weight (kg),Input pathway
0,,,,,,,220,TiO2,"highlt dispersed titanium dioxide nanoparticles, HD-MT-150AW",,Safety evaluation of titanium dioxide nanoparticles by their absorption and elimination profiles,https://doi.org/10.2131/jts.33.293,15,mice,ddy,,0.083333333,2008,,12.05357143,2126.506024,2.410714286,0.357142857,60.43333333,0.025,intravenous injection
1,,,,,,,220,TiO2,"highlt dispersed titanium dioxide nanoparticles, HD-MT-150AW",,Safety evaluation of titanium dioxide nanoparticles by their absorption and elimination profiles,https://doi.org/10.2131/jts.33.293,15,,,,72,2008,,2.232142857,1710.843373,0.535714286,0.357142857,,,
2,,,,,,,220,TiO2,"highlt dispersed titanium dioxide nanoparticles, HD-MT-150AW",,Safety evaluation of titanium dioxide nanoparticles by their absorption and elimination profiles,https://doi.org/10.2131/jts.33.293,15,,,,720,,,3.035714286,1837.349398,0.714285714,0.267857143,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,14.10714286,2301.204819,2.857142857,,,,
,,,,,,,,,,,,,,,,,,,,2.5,2036.144578,0.892857143,,,,
,,,,,,,,,,,,,,,,,,,,3.75,2042.168675,0.803571429,,,,