"","2.5%","25%","50%","75%","97.5%"
"K_release_Liver",3.26633453231707e-05,0.000297174889910233,0.000645995581750307,0.00102452805557544,0.00165706153585841
"K_max_Liver",2.38501906441266,10.6911910956801,17.0132008836033,23.760840653585,34.9628423588865
"K_50_Liver",18.6477217391842,42.223692871615,55.9713499537568,69.501594878724,90.0208589661079
"n_Liver",0.21848703854395,2.0325569125424,4.16146692168471,5.88039810617317,8.76369771050046
"K_release_Spleen",2.21046358568976e-05,6.76562921316416e-05,0.000281679513666825,0.000731454747238184,0.00150947823076167
"K_max_Spleen",0.830953291450988,1.27990321923984,2.4618816531333,7.90401632453424,45.2814325123875
"K_50_Spleen",22.252000158725,45.9894885529198,59.1735609378203,72.7977390496247,91.4964214465463
"n_Spleen",0.639098418986888,2.86499543011434,4.41985391899518,6.04634347245545,8.95034440956918
"K_release_Kidney",8.61853122209806e-06,1.786145744578e-05,4.98309048497333e-05,0.00018701481398344,0.000541204037507724
"K_max_Kidney",0.00919271868544041,0.0403546935585368,0.0666917302698725,0.0951328107351385,0.149508333212993
"K_50_Kidney",0.844148683223434,8.10568141089074,16.373901563255,24.9393845223209,40.8395932601438
"n_Kidney",1.17094352021152,3.39908942377442,4.85299432037461,6.44533861338299,9.02630674146889
"K_release_Lung",9.64883321887348e-05,0.000574121472675415,0.00152120622888017,0.00285012903514613,0.00529816345374186
"K_max_Lung",0.0232037482924885,0.0583231073538151,0.0775750064117764,0.0969627978909559,0.127232904315013
"K_50_Lung",0.445133635350449,0.650159185901846,1.07192598891961,2.31753309771827,12.7216451375233
"n_Lung",0.260515547843577,1.66863051816737,3.38005119800085,5.32283898764316,8.95134978312612
"P_Liver",0.0118262600730309,0.0494364105540762,0.0707250597838328,0.0954353681470897,0.140489303239644
"P_Brain",0.0166997963392675,0.0866972359285692,0.138013245509773,0.187664814538539,0.272383287013479
"P_Kidney",0.0441110116533201,0.102770198978389,0.142946797077389,0.18658933337986,0.260435053012427
"P_Spleen",0.00607166960944975,0.0329960757464089,0.0660195200908228,0.111820586049291,0.214351816838459
"P_Lung",0.0540021463915011,0.121369132444759,0.163265236848328,0.203879779071237,0.275889203165796
"P_Rest",0.0069666544015485,0.062937313102793,0.115975065308309,0.168000652842628,0.258532092555168
"DLC_Liver",2.36513369487315e-05,5.53901865305422e-05,0.000149083861076844,0.000606332911132803,0.00148352761487048
"DLC_Brain",2.1557262761781e-08,4.46933885017766e-08,1.11679483776879e-07,3.55125984189096e-07,1.24100350158174e-06
"DLC_Kidney",4.06252299540008e-05,0.000209777536197809,0.000495290918177077,0.000856226547329873,0.00154369263332171
"DLC_Spleen",0.000863721532203212,0.00838272996184296,0.0193817656458756,0.0306480325662613,0.0500163659993298
"DLC_Lung",2.25617659344329e-05,7.37503439921068e-05,0.000254856471435235,0.000668430123438373,0.0014708889622761
"DLC_Rest",9.40421576471058e-08,5.77801486861667e-07,8.75831656322623e-07,1.21878604117535e-06,1.76249859622118e-06
"Kbile",8.5185498282751e-07,1.00865276639111e-05,2.3379817453181e-05,3.45090749416438e-05,5.27131869411845e-05
"Kurine",1.16574150007044e-07,1.0232559938749e-06,2.04518945672529e-06,3.12598013177234e-06,4.99940109053522e-06
"sig2",0.832113188441477,1.36013576127685,1.7953706470908,2.33687149610022,3.14955375798806
"sig_K_release_Liver",0.147038938781629,1.15228139128356,4.24875792661229,16.8545859100409,272.683476815431
"sig_K_max_Liver",0.116827917742176,8.80435706848368,575.37546526717,58283.9400379257,51040852.9920111
"sig_K_50_Liver",0.174197108023976,1.34648588101357,4.78647002494376,18.1480723127118,231.537414386168
"sig_n_Liver",2.13086451499887,211.696428083845,3669.35088385635,84238.9881297946,25083474.8183501
"sig_K_release_Spleen",0.0753442422120979,0.14017160969912,0.291107094777923,0.7839611740511,7.00203641644925
"sig_K_max_Spleen",0.0740520366665052,0.132416468947361,0.294354944308189,0.934186476496426,13.6206810499414
"sig_K_50_Spleen",0.334405001603098,27.6237251275258,497.1608552959,10188.0593215322,516261.065970207
"sig_n_Spleen",0.0749318699877815,0.126719916712566,0.270315009964446,0.781218344321164,9.09866292197986
"sig_K_release_Kidney",0.0827492443869852,0.322619941474416,1.7428039994689,16.7994723287059,2233.95184653114
"sig_K_max_Kidney",0.79880396258499,10.9514463454731,45.9336399652895,205.558421171105,4649.19885780825
"sig_K_50_Kidney",0.0927798837141464,0.156522331683336,0.322725401427412,0.89706030851904,9.34560123838799
"sig_n_Kidney",0.0822094941345889,0.131304144316439,0.222804872305334,0.465855445691068,2.45460079290005
"sig_K_release_Lung",0.0905282397729736,0.164811462161122,0.33224193791132,0.818247169613973,6.13220084423807
"sig_K_max_Lung",0.463117347183003,0.880768287542602,1.32147424928715,2.08897618077496,5.92604817670528
"sig_K_50_Lung",0.409104731519244,0.74610840317437,1.0592535149263,1.59545613053279,3.99721365104429
"sig_n_Lung",0.462350292004812,0.876172380851342,1.33367016125106,2.15172014485745,7.08884143090248
"sig_P_Liver",0.427854728969982,0.852136939433207,1.27889997285828,2.04747671196083,6.43518072419986
"sig_P_Brain",0.00124627069990239,0.0640311769525747,0.739234085938562,9.22420900820226,2448.72435526754
"sig_P_Kidney",0.000145161510859395,0.00374107786303643,0.0217526524266124,0.13063942694623,2.30894895698423
"sig_P_Spleen",0.0177770551020388,0.390831756997014,1.74427960001145,7.30230328111348,114.824392407806
"sig_P_Lung",0.0149700327463717,0.25144179823613,1.2542049728753,7.56909561706984,432.152607042639
"sig_P_Rest",0.129991982780669,3.58005925033398,18.4161992112281,81.8250417756807,1183.96320759506
"sig_DLC_Liver",0.00345925204105062,0.104165470249037,0.879576924485807,8.71521445751282,737.859181067749
"sig_DLC_Brain",0.00990286880488994,0.533380352965338,5.04726153158621,41.5106675211117,1306.71545935636
"sig_DLC_Kidney",0.020153152143973,0.384738771228379,1.64087858059894,7.16112516105024,128.740752873633
"sig_DLC_Spleen",6.23710761463963e-09,1.28598022414954e-06,1.67485624430666e-05,0.000237594980672313,0.0314401962369953
"sig_DLC_Lung",0.338903462499814,19.872886648961,329.192613363234,7304.49903984335,1116746.07951965
"sig_DLC_Rest",3.82997190647115,179.996761810697,1917.02111277183,19969.3746980499,2368710.82136727
"sig_Kbile",96.151570002647,20815.569999758,467493.817647733,11877916.1704533,8743852473.9683
"sig_Kurine",2.50604833688572e-05,0.000492384892879386,0.00233759147487642,0.0106540519323048,0.184382608036131
